Subject,Body
Software Developer -Fresher role at TheNextGem.ai is available,"Software Developer -Fresher
TheNextGem.ai
India
Apply with resume & profile
Junior Software Engineer ( Freshers)
Jet2 Travel Technologies Pvt Ltd.
Pune
This company is actively hiring
Software Developer -Fresher
CryptoXpress
India
This company is actively hiring
Apply with resume & profile
Software Engineer ( Fresher ) Avasari GCOE 2024
Bizsense Solutions Pvt. Ltd.
Nagpur
This company is actively hiring
Apply with resume & profile
Junior Software Developer (Fresher)
ConsultBae Jobs
India
This company is actively hiring
Apply with resume & profile
Software Testing Freshers
Pinnacle Tech Systems
Pune
Apply with resume & profile
See jobs where you’re a top applicant
You are receiving Jobs You Might Be Interested In emails."
You have 30 notifications about Ambarish and others,"View your notifications
Go to Facebook
Hi Manjusha,
You have 30 unread notifications to review
A lot has happened on Facebook since you last logged in. Here are some notifications you've missed from your friends.
5 messages from Ambarish Udgirkar and 2 others
3 friend requests
22 other new notifications
Thanks,
The Facebook team
Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025"
"Narendra Modi Tweeted: For us, reforms are a means to improve the li...","Your Highlights
Narendra Modi - @narendramodi
For us, reforms are a means to improve the lives of 140 crore Indians.
After the introduction of GST, goods for household use have become much cheaper.
This has resulted in significant savings for the poor and common man.
We are committed to continuing this journey of reforms… 
Read more at Twitter ----------
SpaceX - @SpaceX
Up next, teams in California are readying to launch Falcon 9 from pad 4E later today → 
Read more at Twitter ----------
YouTube - @YouTube
musical knowledge is going 📈 after just one viewing of a @NathanZed video
Read more at Twitter ----------
Google Cloud Tech - @GoogleCloudTech
How to build a #generativeAI chatbot in #BigQuery:
1: Collect user input
2: Intelligent contextual search & retrieval
3: Prompt augmentation
4: Model inference
5: Response generation
For the final step, transform the RAG into a web app. Here's how →  
Read more at Twitter ----------
PlayStation - @PlayStation
who wore it better 🦁👒 
Read more at Twitter ----------
Google Cloud - @googlecloud
Go behind the scenes of a Google Cloud data center to learn more about the inner workings of our AI Hypercomputer, a supercomputing architecture that boosts efficiency and productivity for #AI training, tuning, and serving workloads →  
Read more at Twitter ----------
See more on Twitter ----------"
Software Developer -Fresher role at TheNextGem.ai and other opportunities open,"Software Developer -Fresher
TheNextGem.ai
India
Apply with resume & profile
Junior Software Engineer ( Freshers)
Jet2 Travel Technologies Pvt Ltd.
Pune
This company is actively hiring
Software Developer -Fresher
CryptoXpress
India
This company is actively hiring
Apply with resume & profile
Junior Software Developer (Fresher)
ConsultBae Jobs
India
This company is actively hiring
Apply with resume & profile
Software Engineer ( Fresher ) Avasari GCOE 2024
Bizsense Solutions Pvt. Ltd.
Nagpur
This company is actively hiring
Apply with resume & profile
Software Testing Freshers
Pinnacle Tech Systems
Pune
Apply with resume & profile
See jobs where you’re a top applicant
You are receiving Jobs You Might Be Interested In emails."
Software Developer -Fresher role at TheNextGem.ai is available,"Software Developer -Fresher
TheNextGem.ai
India
Apply with resume & profile
Junior Software Engineer ( Freshers)
Jet2 Travel Technologies Pvt Ltd.
Pune
This company is actively hiring
Software Developer -Fresher
CryptoXpress
India
This company is actively hiring
Apply with resume & profile
Software Engineer ( Fresher ) Avasari GCOE 2024
Bizsense Solutions Pvt. Ltd.
Nagpur
This company is actively hiring
Apply with resume & profile
Junior Software Developer (Fresher)
ConsultBae Jobs
India
This company is actively hiring
Apply with resume & profile
Software Testing Freshers
Pinnacle Tech Systems
Pune
Apply with resume & profile
See jobs where you’re a top applicant
You are receiving Jobs You Might Be Interested In emails."
Software Developer -Fresher job at TheNextGem.ai is available,"Software Developer -Fresher
TheNextGem.ai
India
Apply with resume & profile
Junior Software Tester (Fresher)
ConsultBae Jobs
India
This company is actively hiring
Apply with resume & profile
Software Developer -Fresher
CryptoXpress
India
This company is actively hiring
Apply with resume & profile
Junior Software Engineer ( Freshers)
Jet2 Travel Technologies Pvt Ltd.
Pune
This company is actively hiring
Junior Software Developer (Fresher)
ConsultBae Jobs
India
This company is actively hiring
Apply with resume & profile
Software Engineer ( Fresher ) Avasari GCOE 2024
Bizsense Solutions Pvt. Ltd.
Nagpur
This company is actively hiring
Apply with resume & profile
See jobs where you’re a top applicant
You are receiving Jobs You Might Be Interested In emails."
You have 31 notifications about Ambarish and others,"View your notifications
Go to Facebook
Hi Manjusha,
You have 31 unread notifications to review
A lot has happened on Facebook since you last logged in. Here are some notifications you've missed from your friends.
5 messages from Priti Chidrawar Wattamwar and 2 others
3 friend requests
23 other new notifications
Thanks,
The Facebook team
Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025"
Software Developer -Fresher role at TheNextGem.ai and other opportunities open,"Software Developer -Fresher
TheNextGem.ai
India
Apply with resume & profile
Software Developer -Fresher
CryptoXpress
India
This company is actively hiring
Apply with resume & profile
Software Engineer ( Fresher ) Avasari GCOE 2024
Bizsense Solutions Pvt. Ltd.
Nagpur
This company is actively hiring
Apply with resume & profile
Software Testing Freshers
Pinnacle Tech Systems
Pune
Apply with resume & profile
See jobs where you’re a top applicant
You are receiving Jobs You Might Be Interested In emails."
Software Developer -Fresher role at TheNextGem.ai is available,"Software Developer -Fresher
TheNextGem.ai
India
Apply with resume & profile
Software Developer -Fresher
CryptoXpress
India
This company is actively hiring
Apply with resume & profile
Software Engineer ( Fresher ) Avasari GCOE 2024
Bizsense Solutions Pvt. Ltd.
Nagpur
This company is actively hiring
Apply with resume & profile
Software Testing Freshers
Pinnacle Tech Systems
Pune
Apply with resume & profile
See jobs where you’re a top applicant
You are receiving Jobs You Might Be Interested In emails."
Software Developer -Fresher role at TheNextGem.ai and other opportunities open,"Software Developer -Fresher
TheNextGem.ai
India
Apply with resume & profile
Software Developer -Fresher
CryptoXpress
India
This company is actively hiring
Apply with resume & profile
Software Engineer ( Fresher ) Avasari GCOE 2024
Bizsense Solutions Pvt. Ltd.
Nagpur
This company is actively hiring
Apply with resume & profile
Software Testing Freshers
Pinnacle Tech Systems
Pune
Apply with resume & profile
See jobs where you’re a top applicant
You are receiving Jobs You Might Be Interested In emails."
Software Developer -Fresher job at TheNextGem.ai is available,"Software Developer -Fresher
TheNextGem.ai
India
Apply with resume & profile
Software Developer -Fresher
CryptoXpress
India
This company is actively hiring
Apply with resume & profile
Software Engineer ( Fresher ) Avasari GCOE 2024
Bizsense Solutions Pvt. Ltd.
Nagpur
This company is actively hiring
Apply with resume & profile
Software Test Engineer Freshers
Unique Infotech
India
Apply with resume & profile
Software Testing Freshers
Pinnacle Tech Systems
Pune
Apply with resume & profile
See jobs where you’re a top applicant
You are receiving Jobs You Might Be Interested In emails."
You have 36 notifications about Ambarish and others,"View your notifications
Go to Facebook
Hi Manjusha,
You have 36 unread notifications to review
A lot has happened on Facebook since you last logged in. Here are some notifications you've missed from your friends.
5 messages from Ambarish Udgirkar and 2 others
3 friend requests
28 other new notifications
Thanks,
The Facebook team
Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025"
Software Developer -Fresher role at TheNextGem.ai and other opportunities open,"Software Developer -Fresher
TheNextGem.ai
India
Apply with resume & profile
Software Developer -Fresher
CryptoXpress
India
This company is actively hiring
Apply with resume & profile
Software Engineer ( Fresher ) Avasari GCOE 2024
Bizsense Solutions Pvt. Ltd.
Nagpur
This company is actively hiring
Apply with resume & profile
Software Test Engineer Freshers
Unique Infotech
India
Apply with resume & profile
Software Testing Freshers
Pinnacle Tech Systems
Pune
Apply with resume & profile
See jobs where you’re a top applicant
You are receiving Jobs You Might Be Interested In emails."
"Ambarish, you’re on a roll on LinkedIn!","Now, take these next steps for more success
Check out these interesting conversations
Because you sent a connection request to Akarsh Ramachandra
Edunet Foundation shared a post: Edunet Foundation successfully conducted an Orientation cum Data Science workshop at D.A.V. Public School, Chandrasekharpur, Odisha, under IBM…
LIKE EMPATHY 97
Grow your network for career support
Because you sent a connection request to Akarsh Ramachandra
Dr. Archana Rajurkar
Professor and Head at Department of CSE,MGM's College of Engineering, Nanded
34 mutual connections
Onkar Pawde
Student at Mgm College Of Engineering & Technology
47 mutual connections
Follow people who can inspire you at work
Based on your recent activity
Hitesh Choudhary
retired from corporate and full time YouTuber, x founder of LCO (acquired), x CTO, Sr. Director at PW. 2 YT channels and stepped into 39 countries.
223817 Followers
Akshay Saini 🚀
Founder, NamasteDev | Ex- Uber, PayTM | Teacher | YouTuber
568847 Followers
You are receiving this email because members like you have also taken these actions."
You have 6 new invitations,You have 6 new invitations
Software Developer -Fresher role at TheNextGem.ai is available,"Software Developer -Fresher
TheNextGem.ai
India
Apply with resume & profile
Software Engineer ( Fresher ) Avasari GCOE 2024
Bizsense Solutions Pvt. Ltd.
Nagpur
This company is actively hiring
Apply with resume & profile
Software Developer -Fresher
CryptoXpress
India
This company is actively hiring
Apply with resume & profile
Software Test Engineer Freshers
Unique Infotech
India
Apply with resume & profile
Software Testing Freshers
Pinnacle Tech Systems
Pune
Apply with resume & profile
See jobs where you’re a top applicant
You are receiving Jobs You Might Be Interested In emails."
Software Developer -Fresher role at TheNextGem.ai and other opportunities open,"Software Developer -Fresher
TheNextGem.ai
India
Apply with resume & profile
Software Engineer ( Fresher ) Avasari GCOE 2024
Bizsense Solutions Pvt. Ltd.
Nagpur
This company is actively hiring
Apply with resume & profile
Software Developer -Fresher
CryptoXpress
India
This company is actively hiring
Apply with resume & profile
Software Test Engineer Freshers
Unique Infotech
India
Apply with resume & profile
Software Testing Freshers
Pinnacle Tech Systems
Pune
Apply with resume & profile
See jobs where you’re a top applicant
You are receiving Jobs You Might Be Interested In emails."
Software Developer -Fresher role at TheNextGem.ai is available,"Software Developer -Fresher
TheNextGem.ai
India
Apply with resume & profile
Software Engineer ( Fresher ) Avasari GCOE 2024
Bizsense Solutions Pvt. Ltd.
Nagpur
This company is actively hiring
Apply with resume & profile
Software Developer -Fresher
CryptoXpress
India
This company is actively hiring
Apply with resume & profile
Software Test Engineer Freshers
Unique Infotech
India
Apply with resume & profile
Software Testing Freshers
Pinnacle Tech Systems
Pune
Apply with resume & profile
Software Engineer Associate Freshers
Refferal Job
India
High skills match
Apply with resume & profile
See jobs where you’re a top applicant
You are receiving Jobs You Might Be Interested In emails."
You have 35 notifications about Ambarish and others,"View your notifications
Go to Facebook
Hi Manjusha,
You have 35 unread notifications to review
A lot has happened on Facebook since you last logged in. Here are some notifications you've missed from your friends.
5 messages from Priti Chidrawar Wattamwar and 2 others
3 friend requests
27 other new notifications
Thanks,
The Facebook team
Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025"
Software Developer -Fresher role at TheNextGem.ai is available,"Software Developer -Fresher
TheNextGem.ai
India
Apply with resume & profile
Software Developer -Fresher
CryptoXpress
India
This company is actively hiring
Apply with resume & profile
Software Engineer ( Fresher ) Avasari GCOE 2024
Bizsense Solutions Pvt. Ltd.
Nagpur
This company is actively hiring
Apply with resume & profile
Software Test Engineer Freshers
Unique Infotech
India
Apply with resume & profile
Software Testing Freshers
Pinnacle Tech Systems
Pune
Apply with resume & profile
See jobs where you’re a top applicant
You are receiving Jobs You Might Be Interested In emails."
You have 3 new invitations,"You have 3 new invitations
You have 1 new message"
Software Developer -Fresher role at TheNextGem.ai and other opportunities open,"Software Developer -Fresher
TheNextGem.ai
India
Apply with resume & profile
Software Engineer (Fresher)
Jupitos Technologies LLC
India
Apply with resume & profile
Software Developer -Fresher
CryptoXpress
India
This company is actively hiring
Apply with resume & profile
Software Engineer ( Fresher ) Avasari GCOE 2024
Bizsense Solutions Pvt. Ltd.
Nagpur
This company is actively hiring
Apply with resume & profile
Software Test Engineer Freshers
Unique Infotech
India
Apply with resume & profile
Software Testing Freshers
Pinnacle Tech Systems
Pune
Apply with resume & profile
See jobs where you’re a top applicant
You are receiving Jobs You Might Be Interested In emails."
Laksha Mahanagar Palika 2017 - Prabhag-17 and 7 others are new Group suggestions for you,"Hi Manjusha,
Thanks,
The Facebook team
Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025"
Software Developer -Fresher role at TheNextGem.ai and other opportunities open,"Software Developer -Fresher
TheNextGem.ai
India
Apply with resume & profile
Software Engineer ( Fresher ) Avasari GCOE 2024
Bizsense Solutions Pvt. Ltd.
Nagpur
This company is actively hiring
Apply with resume & profile
Software Test Engineer Freshers
Unique Infotech
India
Apply with resume & profile
Software Testing Freshers
Pinnacle Tech Systems
Pune
Apply with resume & profile
See jobs where you’re a top applicant
You are receiving Jobs You Might Be Interested In emails."
Software Developer -Fresher role at TheNextGem.ai and other opportunities open,"Software Developer -Fresher
TheNextGem.ai
India
Apply with resume & profile
Software Developer -Fresher
CryptoXpress
India
This company is actively hiring
Apply with resume & profile
Software Test Engineer Freshers
Unique Infotech
India
Apply with resume & profile
Software Engineer ( Fresher ) Avasari GCOE 2024
Bizsense Solutions Pvt. Ltd.
Nagpur
This company is actively hiring
Apply with resume & profile
Software Testing Freshers
Pinnacle Tech Systems
Pune
Apply with resume & profile
See jobs where you’re a top applicant
You are receiving Jobs You Might Be Interested In emails."
You have 38 notifications about Ruturaj and others,"View your notifications
Go to Facebook
Hi Manjusha,
You have 38 unread notifications to review
A lot has happened on Facebook since you last logged in. Here are some notifications you've missed from your friends.
5 messages from Ambarish Udgirkar and 2 others
3 friend requests
30 other new notifications
Thanks,
The Facebook team
Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025"
Software Developer -Fresher role at TheNextGem.ai and other opportunities open,"Software Developer -Fresher
TheNextGem.ai
India
Apply with resume & profile
Software Developer -Fresher
CryptoXpress
India
This company is actively hiring
Apply with resume & profile
Software Engineer ( Fresher ) Avasari GCOE 2024
Bizsense Solutions Pvt. Ltd.
Nagpur
This company is actively hiring
Apply with resume & profile
Software Test Engineer Freshers
Unique Infotech
India
Apply with resume & profile
Software Testing Freshers
Pinnacle Tech Systems
Pune
Apply with resume & profile
See jobs where you’re a top applicant
You are receiving Jobs You Might Be Interested In emails."
Software Developer -Fresher role at TheNextGem.ai and other opportunities open,"Software Developer -Fresher
TheNextGem.ai
India
Apply with resume & profile
Software Developer -Fresher
CryptoXpress
India
This company is actively hiring
Apply with resume & profile
Software Engineer ( Fresher ) Avasari GCOE 2024
Bizsense Solutions Pvt. Ltd.
Nagpur
This company is actively hiring
Apply with resume & profile
Software Test Engineer Freshers
Unique Infotech
India
Apply with resume & profile
Software Testing Freshers
Pinnacle Tech Systems
Pune
Apply with resume & profile
See jobs where you’re a top applicant
You are receiving Jobs You Might Be Interested In emails."
"📩 Ambarish Udgirkar, you have a new invitation",You have 1 new invitation
Software Developer -Fresher role at TheNextGem.ai and other opportunities open,"Software Developer -Fresher
TheNextGem.ai
India
Apply with resume & profile
Software Developer -Fresher
CryptoXpress
India
This company is actively hiring
Apply with resume & profile
Software Engineer ( Fresher ) Avasari GCOE 2024
Bizsense Solutions Pvt. Ltd.
Nagpur
This company is actively hiring
Apply with resume & profile
Software Test Engineer Freshers
Unique Infotech
India
Apply with resume & profile
Software Testing Freshers
Pinnacle Tech Systems
Pune
Apply with resume & profile
See jobs where you’re a top applicant
You are receiving Jobs You Might Be Interested In emails."
You have 31 notifications about Bharat and others,"View your notifications
Go to Facebook
Hi Manjusha,
You have 31 unread notifications to review
A lot has happened on Facebook since you last logged in. Here are some notifications you've missed from your friends.
5 messages from Priti Chidrawar Wattamwar and 2 others
3 friend requests
23 other new notifications
Thanks,
The Facebook team
Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025"
Software Engineer Associate (Freshers - Internship) role at TechKnowledgeHub.org and other opportunities open,"Software Engineer Associate (Freshers - Internship)
TechKnowledgeHub.org
India
Apply with resume & profile
Software Developer -Fresher
CryptoXpress
India
This company is actively hiring
Apply with resume & profile
Software Engineer ( Fresher ) Avasari GCOE 2024
Bizsense Solutions Pvt. Ltd.
Nagpur
This company is actively hiring
Apply with resume & profile
Software Test Engineer Freshers
Unique Infotech
India
Apply with resume & profile
Software Testing Freshers
Pinnacle Tech Systems
Pune
Apply with resume & profile
See jobs where you’re a top applicant
You are receiving Jobs You Might Be Interested In emails."
Software Engineer Associate (Freshers - Internship) role at TechKnowledgeHub.org and other opportunities open,"Software Engineer Associate (Freshers - Internship)
TechKnowledgeHub.org
India
Apply with resume & profile
Software Developer - Fresher
CryptoXpress
India
This company is actively hiring
Apply with resume & profile
Software Engineer ( Fresher ) Avasari GCOE 2024
Bizsense Solutions Pvt. Ltd.
Nagpur
This company is actively hiring
Apply with resume & profile
Software Test Engineer Freshers
Unique Infotech
India
Apply with resume & profile
Software Testing Freshers
Pinnacle Tech Systems
Pune
Apply with resume & profile
See jobs where you’re a top applicant
You are receiving Jobs You Might Be Interested In emails."
👤 Chaitanya Udgirkar is a new friend suggestion for you,"Find more friends
Hi Manjusha,
Add the people you know to see their photos and updates.
Thanks,
The Facebook team
Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025"
Software Developer - Fresher role at CryptoXpress and other opportunities open,"Software Developer - Fresher
CryptoXpress
India
This company is actively hiring
Apply with resume & profile
Software Engineer ( Fresher ) Avasari GCOE 2024
Bizsense Solutions Pvt. Ltd.
Nagpur
This company is actively hiring
Apply with resume & profile
Software Test Engineer Freshers
Unique Infotech
India
Apply with resume & profile
Software Testing Freshers
Pinnacle Tech Systems
Pune
Apply with resume & profile
See jobs where you’re a top applicant
You are receiving Jobs You Might Be Interested In emails."
You have 32 notifications about Pankaj and others,"View your notifications
Go to Facebook
Hi Manjusha,
You have 32 unread notifications to review
A lot has happened on Facebook since you last logged in. Here are some notifications you've missed from your friends.
5 messages from Ambarish Udgirkar and 2 others
3 friend requests
24 other new notifications
Thanks,
The Facebook team
Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025"
Software Engineer  - Freshers role at SalesAsASeva and other opportunities open,"Software Engineer  - Freshers
SalesAsASeva
India
Apply with resume & profile
Software Developer - Fresher
CryptoXpress
India
This company is actively hiring
Apply with resume & profile
Software Engineer ( Fresher ) Avasari GCOE 2024
Bizsense Solutions Pvt. Ltd.
Nagpur
This company is actively hiring
Apply with resume & profile
Software Test Engineer Freshers
Unique Infotech
India
Apply with resume & profile
Software Testing Freshers
Pinnacle Tech Systems
Pune
Apply with resume & profile
See jobs where you’re a top applicant
You are receiving Jobs You Might Be Interested In emails."
👤 Ashwini Deshmukh is a new friend suggestion for you,"Find more friends
Hi Manjusha,
Add the people you know to see their photos and updates.
Thanks,
The Facebook team
Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025"
"Ambarish, you’re on a roll on LinkedIn!","Now, take these next steps for more success
Grow your network for career support
Because you viewed Sadhana’s profile
Kolhe Ram Venkati
--
44 mutual connections
Gaurav Chavhan
Learner | Frontend Developer | Python
21 mutual connections
Follow people who can inspire you at work
Based on your recent activity
Shradha Khapra
Co-founder, Apna College | Ex-Microsoft | Tedx Speaker | Google SPS’20
743772 Followers
Prince Singh
Junior SDE @CloudConduction | Mentor @proPeers & @topmate.io | 3⭐ LeetCode Knight👑 Top 5% 🌍 | Institute 1🥇 GFG | Global Rank 🥇13 InterviewBit | Master🌞 CodeStudio Level 9 🚀 | Cracked Remote Job As A Fresher 💯
49098 Followers
Check out these interesting conversations
Because you viewed Alvin’s post
Alvin Foo shared a post: When is Failing an option?
LIKE EMPATHY INTEREST 62, 8 Comments
You are receiving this email because members like you have also taken these actions."
Software Engineer Associate (Freshers - Internship) role at TechKnowledgeHub.org is available,"Software Engineer Associate (Freshers - Internship)
TechKnowledgeHub.org
India
Apply with resume & profile
Software Developer - Fresher
CryptoXpress
India
This company is actively hiring
Apply with resume & profile
Software Engineer ( Fresher ) Avasari GCOE 2024
Bizsense Solutions Pvt. Ltd.
Nagpur
This company is actively hiring
Apply with resume & profile
Software Test Engineer Freshers
Unique Infotech
India
Apply with resume & profile
Software Engineer  - Freshers
SalesAsASeva
India
Apply with resume & profile
Software Testing Freshers
Pinnacle Tech Systems
Pune
Apply with resume & profile
See jobs where you’re a top applicant
You are receiving Jobs You Might Be Interested In emails."
Software Engineer Associate (Freshers - Internship) role at TechKnowledgeHub.org is available,"Software Engineer Associate (Freshers - Internship)
TechKnowledgeHub.org
India
Apply with resume & profile
Software Developer - Fresher
CryptoXpress
India
This company is actively hiring
Apply with resume & profile
Software Engineer ( Fresher ) Avasari GCOE 2024
Bizsense Solutions Pvt. Ltd.
Nagpur
This company is actively hiring
Apply with resume & profile
Software Test Engineer Freshers
Unique Infotech
India
Apply with resume & profile
Software Testing Freshers
Pinnacle Tech Systems
Pune
Apply with resume & profile
See jobs where you’re a top applicant
You are receiving Jobs You Might Be Interested In emails."
"Ambarish, you’re on a roll on LinkedIn!","Now, take these next steps for more success
Grow your network for career support
Based on your recent activity
Apurwa Choudante
Attended Mgm's college of engineering nanded
22 mutual connections
Rajlaxmi Kancharlawar
Student at Mahatma Gandhi Mission's College of Engineering, Nanded
3 mutual connections
Follow people who can inspire you at work
Based on your recent activity
Hitesh Choudhary
retired from corporate and full time YouTuber, x founder of LCO (acquired), x CTO, Sr. Director at PW. 2 YT channels and stepped into 39 countries.
207296 Followers
Amritanjali Dubey (She/Her)
Software Engineer at Google l Teacher I Content Creator
174364 Followers
Check out these interesting conversations
Because you viewed Ravi’s post
Ravi BHAGAT shared a post: 🎉 Excited to share that I've successfully completed the Hands-On Machine Learning Workshop hosted by GDSC! 🚀 It was an enriching experience diving…
LIKE EMPATHY 19, 2 Comments
You are receiving this email because members like you have also taken these actions."
You have 34 notifications about Bharat and others,"View your notifications
Go to Facebook
Hi Manjusha,
You have 34 unread notifications to review
A lot has happened on Facebook since you last logged in. Here are some notifications you've missed from your friends.
5 messages from Ambarish Udgirkar and 2 others
3 friend requests
26 other new notifications
Thanks,
The Facebook team
Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025"
Software Developer Fresher role at Agilité: Actively recruiting,"Software Developer Fresher
Agilité
India
This company is actively hiring
Apply with resume & profile
Software Developer - Fresher
CryptoXpress
India
This company is actively hiring
Apply with resume & profile
Software Engineer ( Fresher ) Avasari GCOE 2024
Bizsense Solutions Pvt. Ltd.
Nagpur
This company is actively hiring
Apply with resume & profile
Python Developer (Fresher / Website,Software)
Prevetech Solutions
India
Software Test Engineer Freshers
Unique Infotech
India
Apply with resume & profile
Software Testing Freshers
Pinnacle Tech Systems
Pune
Apply with resume & profile
See jobs where you’re a top applicant
You are receiving Jobs You Might Be Interested In emails."
Software Developer Fresher role at Agilité: Actively recruiting,"Software Developer Fresher
Agilité
India
This company is actively hiring
Apply with resume & profile
Software Developer - Fresher
CryptoXpress
India
This company is actively hiring
Apply with resume & profile
Python Developer (Fresher / Website,Software)
Prevetech Solutions
India
Software Engineer ( Fresher ) Avasari GCOE 2024
Bizsense Solutions Pvt. Ltd.
Nagpur
This company is actively hiring
Apply with resume & profile
Software Test Engineer Freshers
Unique Infotech
India
Apply with resume & profile
Software Testing Freshers
Pinnacle Tech Systems
Pune
Apply with resume & profile
See jobs where you’re a top applicant
You are receiving Jobs You Might Be Interested In emails."
👤 Meena Wakte is a new friend suggestion for you,"Find more friends
Hi Manjusha,
Add the people you know to see their photos and updates.
Thanks,
The Facebook team
Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025"
👤 Bharat Pandlawad is a new friend suggestion for you,"Find more friends
Hi Manjusha,
Add the people you know to see their photos and updates.
Thanks,
The Facebook team
Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025"
You’re now open to work - we can help you get noticed,"Showcase what you have to offer on your profile. Here’s what recruiters and hiring managers are looking for:
Your experience
Highlight achievements in each role.
Your skills
Showcase what you are great at.
Personal summary
Show your expertise and interests.
....................................."
You have 32 notifications about Madhuri and others,"View your notifications
Go to Facebook
Hi Manjusha,
You have 32 unread notifications to review
A lot has happened on Facebook since you last logged in. Here are some notifications you've missed from your friends.
5 messages from Khoobsurat and 2 others
3 friend requests
24 other new notifications
Thanks,
The Facebook team
Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025"
👤 Amruta Borawake Girme is a new friend suggestion for you,"Find more friends
Hi Manjusha,
Add the people you know to see their photos and updates.
Thanks,
The Facebook team
Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025"
👤 Kalpana Lavekar is a new friend suggestion for you,"Find more friends
Hi Manjusha,
Add the people you know to see their photos and updates.
Thanks,
The Facebook team
Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025"
Sumi Shop - Giày VNXK giá rẻ and others are suggested for you,"Hi Manjusha,
Thanks,
The Facebook team
Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025"
👤 Pranav Rahatikar is a new friend suggestion for you,"Find more friends
Hi Manjusha,
Add the people you know to see their photos and updates.
Thanks,
The Facebook team
Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025"
Kachnar Chaudhary and others are suggested for you,"Hi Manjusha,
Thanks,
The Facebook team
Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025"
You have 26 notifications about Pankaj and others,"View your notifications
Go to Facebook
Hi Manjusha,
You have 26 unread notifications to review
A lot has happened on Facebook since you last logged in. Here are some notifications you've missed from your friends.
5 messages from Ambarish Udgirkar and 2 others
2 friend requests
19 other new notifications
Thanks,
The Facebook team
Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025"
👤 Ravina Gundewar is a new friend suggestion for you,"Find more friends
Hi Manjusha,
Add the people you know to see their photos and updates.
Thanks,
The Facebook team
Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025"
She Femme © and 1 other are new Group suggestions for you,"Hi Manjusha,
Thanks,
The Facebook team
Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025"
👤 Mohini Joshi-vishnupurikar is a new friend suggestion for you,"Find more friends
Hi Manjusha,
Add the people you know to see their photos and updates.
Thanks,
The Facebook team
Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025"
खादाड खाऊ - Khadad khau ( original ) and 7 others are new Group suggestions for you,"Hi Manjusha,
Thanks,
The Facebook team
Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025"
Mumbai Women Entrepreneurs and 7 others are new Group suggestions for you,"Hi Manjusha,
Thanks,
The Facebook team
Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025"
👤 Mrunali Udgirkar is a new friend suggestion for you,"Find more friends
Hi Manjusha,
Add the people you know to see their photos and updates.
Thanks,
The Facebook team
Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025"
You have 22 notifications about Pankaj and others,"View your notifications
Go to Facebook
Hi Manjusha,
You have 22 unread notifications to review
A lot has happened on Facebook since you last logged in. Here are some notifications you've missed from your friends.
5 messages from Priti Chidrawar Wattamwar and 2 others
3 friend requests
14 other new notifications
Thanks,
The Facebook team
Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025"
पार्थ (बाबा) निंबाळकर युवा मंच सणसर and 3 others are new Group suggestions for you,"Hi Manjusha,
Thanks,
The Facebook team
Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025"
👤 Poojaagni Dillikar is a new friend suggestion for you,"Find more friends
Hi Manjusha,
Add the people you know to see their photos and updates.
Thanks,
The Facebook team
Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025"
